n,RMSE,MAE,R2,model,subset,fold
1192,21.361725869703694,12.8533592979289,0.9507080900738777,chemprop_v2,da,0
422,24.20723122679574,14.286628375804392,0.9348673713878206,chemprop_v2,dad,0
339,20.473582724956533,12.112174893269495,0.9434467265803539,chemprop_v2,bodipy,0
11,28.16185087393667,21.23432783647017,0.5839127309843841,chemprop_v2,cyanine,0
0,,,,chemprop_v2,squaraine,0
286,20.323391233471693,14.3954030110973,0.9495990019003834,chemprop_v2,stilbene,0
1809,31.754540403982507,15.128790533234433,0.9256106630966412,chemprop_v2,non_local,0
3751,35.39568646747514,19.956640052678814,0.8909601592598209,chemprop_v2,full,1
786,52.91945802119604,26.78067214021748,0.5878987441710888,chemprop_v2,lambda500,1
320,74.98405992299087,37.16463986665038,-0.3114456312802647,chemprop_v2,lambda600,1
49,27.3057722325836,19.802358199139032,0.7625971913024469,chemprop_v2,azo,1
1219,27.126783817453685,17.50138740453689,0.9235643123138582,chemprop_v2,da,1
450,26.0551061960484,17.953540970908854,0.9290031353719378,chemprop_v2,dad,1
390,23.85547325658138,16.47775379669972,0.9227814970244607,chemprop_v2,bodipy,1
13,29.027619859976433,23.079087477463943,0.6201333301581746,chemprop_v2,cyanine,1
0,,,,chemprop_v2,squaraine,1
319,35.26557939465704,23.23488365279315,0.8771080564849373,chemprop_v2,stilbene,1
1867,38.717467455763845,20.630867827435182,0.8948627031550058,chemprop_v2,non_local,1
3750,26.057556977785012,15.524400411199375,0.940412219948585,chemprop_v2,full,2
800,33.11885828464133,19.64527007031592,0.8326394182871026,chemprop_v2,lambda500,2
324,35.95088386352597,22.5168511072989,0.65995056292085,chemprop_v2,lambda600,2
59,23.2325134273865,16.845383983547404,0.8315915596809885,chemprop_v2,azo,2
1201,21.616758080553698,14.199678708943393,0.9520310962041684,chemprop_v2,da,2
422,24.782016280586255,15.63942276610356,0.9287156371638841,chemprop_v2,dad,2
349,20.774291101678234,12.435182270858704,0.9365530684279098,chemprop_v2,bodipy,2
10,29.458207766347318,22.902157592773438,0.7174817099809919,chemprop_v2,cyanine,2
0,,,,chemprop_v2,squaraine,2
313,29.676123901315293,19.469786421474392,0.8999829857652165,chemprop_v2,stilbene,2
1835,26.39838584083268,15.98662166412487,0.9492904714728625,chemprop_v2,non_local,2
3751,32.70026919280294,16.0262264803354,0.9073682040852313,chemprop_v2,full,3
757,48.12084527691464,22.46640032331056,0.6781770841891432,chemprop_v2,lambda500,3
308,64.474141726687,29.98656253921342,0.07033539642399811,chemprop_v2,lambda600,3
44,29.12420171737374,20.533476396040484,0.7722686942435366,chemprop_v2,azo,3
1239,20.76908245734018,12.742459246754565,0.9520597353457156,chemprop_v2,da,3
463,22.03395177192506,13.893515387118235,0.9386873872959853,chemprop_v2,dad,3
341,21.85310393981953,13.440381770823405,0.9476870501722068,chemprop_v2,bodipy,3
12,29.322707223405367,25.547414143880207,0.5589576965743894,chemprop_v2,cyanine,3
0,,,,chemprop_v2,squaraine,3
318,27.565489540471027,16.259519041067218,0.9178516787228351,chemprop_v2,stilbene,3
