n,RMSE,MAE,R2,model,subset,fold
307,154.96042953631064,133.9460615239948,-3.8979149275695866,chemberta,lambda600,3
58,44.72251858929709,23.662298794450432,0.392537121893355,chemberta,azo,3
1232,46.06653900058785,21.82453604830624,0.7862266126709838,chemberta,da,3
449,42.19768345735503,22.61901885548267,0.8070745986410437,chemberta,dad,3
359,75.4479821824403,46.19662246066548,0.27028688873165463,chemberta,bodipy,3
14,38.43204938068335,28.498382568359375,0.3684261633179535,chemberta,cyanine,3
0,,,,chemberta,squaraine,3
291,44.889495111390175,25.057409929689513,0.7755263416945655,chemberta,stilbene,3
1887,67.73460409735497,34.76572232530865,0.6785281764083673,chemberta,non_local,3
3683,60.02382635979406,30.521351315348973,0.6956407548919519,chemberta,full,4
776,119.43313535921274,86.85650434734566,-1.1145788428098857,chemberta,lambda500,4
326,175.45825431161316,159.82441402648942,-6.498337424430074,chemberta,lambda600,4
50,49.96740212471001,30.593206787109374,0.4864508370232744,chemberta,azo,4
1196,52.455838772079396,26.811287635266645,0.716404023162549,chemberta,da,4
453,46.7350728934951,25.477850388297632,0.7456334927748308,chemberta,dad,4
333,92.37559979642035,63.89608375933511,-0.07843388270332574,chemberta,bodipy,4
13,52.60499899554754,45.67001108022836,0.04304549881454112,chemberta,cyanine,4
0,,,,chemberta,squaraine,4
325,53.82473277403091,30.194197324164662,0.6731066950985651,chemberta,stilbene,4
1813,80.18023256030692,45.171422625962016,0.5518674829179968,chemberta,non_local,4
